instance,orig,preprocessed
/home/v7q8/scratch/2017_SAT_Competition/g2-ACG-20-10p1.cnf,3243.18,1937.98
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/AProVE07-08.cnf,879.13,546.652
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/UTI-20-5p1.cnf,452.674,438.009
/home/v7q8/scratch/2017_SAT_Competition/mp1-ps_5000_21250_3_0_0.7_0_1.45_0.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-modgen-n200-m90860q08c40-3230.cnf,452.132,412.066
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/c10bi_i.cnf,2897.21,2706.65
/home/v7q8/scratch/2018_SAT_Competition/Xiao/Nb8T60.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128modasbg1msisc.cnf,81.9792,0.722159
/home/v7q8/scratch/2018_SAT_Competition/Chen/20180322_164241329_p_cnf_320_1120.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/008-80-8.cnf,862.756,564.428
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/minxor128.cnf,2838.52,2857.66
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/009-80-4.cnf,250.825,160.719
/home/v7q8/scratch/2018_SAT_Competition/Xiao/Nb8T61.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Harder/ecarev-110-1031-23-40-5.cnf,322.413,253.965
/home/v7q8/scratch/2018_SAT_Competition/Jingchao/e_rphp065_05.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/6s130-opt.cnf,2745.31,2717.95
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/pb_300_10_lb_08.cnf,286.341,176.371
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128modbtbg1asisc.cnf,74.3851,0.590365
/home/v7q8/scratch/2017_SAT_Competition/mp1-Nb6T07.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-22.0.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-bsat180-648.cnf,64.5991,57.4922
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-2000-022-eq.cnf,1735.72,2012.59
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-beemloyd3b1-k31.cnf,3956.3,4208.53
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-1200-023-eq.cnf,2437.15,2555.91
/home/v7q8/scratch/2017_SAT_Competition/g2-mizh-md5-47-3.cnf,512.012,274.209
/home/v7q8/scratch/2018_SAT_Competition/Liang/commutativity3.c.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-9_50.cnf,315.311,54.0408
/home/v7q8/scratch/2017_SAT_Competition/mp1-ps_5000_21250_3_0_0.6_0_1.45_8.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/6s167-opt.cnf,2605.67,2039.57
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/MD5-28-3.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128modbtbg1btaig.cnf,393.571,221.008
/home/v7q8/scratch/2017_SAT_Competition/mp1-ps_5000_21250_3_0_0.7_0_1.50_6.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-blockpuzzle_9x9_s1_free9.cnf,3446.41,2503.44
/home/v7q8/scratch/2018_SAT_Competition/Konan/TimetableCNFEncoding_8_UNKNOWN.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-gss-22-s100.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Scheel/cms-scheel-md5-families-r24-c4-p1-3-4-16.cnf,110.093,56.2754
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/MD5-32-4.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/korf-17.cnf,85.978,122.828
/home/v7q8/scratch/2017_SAT_Competition/g2-gss-40-s100.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-0500-024-t12.cnf,1413.93,278.697
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/MD5-28-2.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-6s341r-k16.cnf,1323.65,1066.93
/home/v7q8/scratch/2018_SAT_Competition/Heule/CNP-5-100.cnf,1360.08,1909.06
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/bob12s02.cnf,2820.72,2313.2
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/le450_15c.col.15.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128diagobg1btaig.cnf,356.044,178.127
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/gss-25-s100.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Xiao/Nb13T165.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-23.6.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/006-23-80.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-UTI-20-5p1.cnf,445.696,473.008
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-intel032-k84.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/MD5-32-2.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/6s10.cnf,2832.23,2787.36
/home/v7q8/scratch/2017_SAT_Competition/mp1-blockpuzzle_9x9_s7_free8.cnf,2124.6,3783.07
/home/v7q8/scratch/2018_SAT_Competition/Zha/Karatsuba6972593x13466917.cnf,15.3917,15.5125
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/reg_s_2_unknown.cnf,3347.86,3037.65
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/005-80-12.cnf,1383.76,730.698
/home/v7q8/scratch/2018_SAT_Competition/Liang/assoc_mult_err_3.c.cnf,240.654,183.425
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/006-22-160.cnf,5000.0,2320.18
/home/v7q8/scratch/2017_SAT_Competition/mp1-23.4.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-1000-023-eq.cnf,2637.73,2708.42
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-0500-023-t12.cnf,997.137,339.072
/home/v7q8/scratch/2017_SAT_Competition/mp1-Nb5T06.cnf,69.4587,73.9878
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/partial-10-11-s.cnf,450.682,241.565
/home/v7q8/scratch/2017_SAT_Competition/mp1-rubikcube101.cnf,286.24,254.443
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/MD5-29-2.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/complete-500-0.1-1-9876543215001.cnf,0.133065,0.123397
/home/v7q8/scratch/2018_SAT_Competition/Manthey/filter1_true-unreach-call.c.cnf,1369.65,1095.7
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/hitag2-10-60-0-0xe14721bd199894a-99.cnf,2402.35,1919.23
/home/v7q8/scratch/2017_SAT_Competition/mp1-23.8.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-6s399b02-k02.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/MD5-30-4.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-23.5.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Heusser/satcoin-genesis-SAT-16.cnf,4.28762,5.14144
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/atco_enc1_opt2_10_14.cnf,415.845,298.407
/home/v7q8/scratch/2018_SAT_Competition/Chen/20180326_095804936_p_cnf_320_1120.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Zha/prime_119218851371.cnf,174.213,145.616
/home/v7q8/scratch/2017_SAT_Competition/mp1-rubikcube312.cnf,3598.5,2527.85
/home/v7q8/scratch/2018_SAT_Competition/Ehlers/ex179_11.cnf,1077.91,848.316
/home/v7q8/scratch/2018_SAT_Competition/Scheel/cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf,94.2386,42.4634
